Date,Tweets,Clicks,Mentions,New Followers,Retweets,Received Messages,Received DM,Sent DM,Unique Users,Followers,Following,Twitter Impressions,New Fans,Unlikes,Page Impressions,Page Impressions (Paid),Page Impressions (Viral),Page Impressions (Organic),Page Impressions (Page Post),Page Impressions (Fan),Stories Created,Story Creators,Stories (Page Post),Stories (Fan)
2013-10-28,10,1,7,1,1,7,0,0,4,659,860,3575,1,0,37,0,7,27,6,1,4,2,3,1
2013-10-29,6,9,4,7,2,4,0,0,4,659,867,6759,0,1,60,0,0,52,0,0,0,0,0,0
2013-10-30,0,0,1,4,0,1,0,0,1,668,868,0,0,0,33,0,3,26,0,3,0,0,0,0
2013-10-31,0,0,0,2,0,0,0,0,0,669,869,0,0,0,2,0,2,0,0,2,0,0,0,0
2013-11-01,1,2,0,1,0,0,0,0,0,672,869,671,0,0,40,0,0,38,0,0,0,0,0,0
2013-11-02,0,0,0,2,0,0,0,0,0,671,869,0,0,0,22,0,0,19,0,0,0,0,0,0
2013-11-03,0,0,0,1,0,0,0,0,0,673,869,0,0,0,1,0,1,0,0,1,0,0,0,0
2013-11-04,3,2,0,2,0,0,0,0,0,673,869,1348,1,1,1543,1051,59,404,11,48,15,15,14,1
2013-11-05,0,0,2,1,0,2,0,0,2,675,870,0,0,0,666,536,3,120,0,3,4,3,4,0
2013-11-06,1,0,0,1,1,0,0,0,0,676,869,134,1,0,51,0,4,41,0,4,1,1,0,1
2013-11-07,1,0,0,0,0,0,0,0,0,676,870,677,0,0,1015,512,126,354,123,3,8,8,8,0
2013-11-08,0,0,1,1,0,1,0,0,1,677,871,0,2,0,747,638,19,83,12,7,9,8,7,2
2013-11-09,0,0,0,2,0,0,0,0,0,678,871,0,0,0,26,0,6,19,1,5,0,0,0,0
2013-11-10,0,0,1,2,0,1,0,0,1,682,871,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-11,1,0,0,3,1,0,0,0,0,681,871,1330,0,0,0,0,0,0,0,0,0,0,0,0
